ESTUDIANTE,PERIODO,PERIODO_KEY,facultad,carrera,nivel,materias_cursadas,promedio_periodo,asistencia_prom,reprobadas,aprobadas,max_no_vez,repitencia_prom,tasa_reprobacion,es_ultimo_periodo,DESERCION_NEXT
Estudiante 59,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,7.608571428571429,93.28571428571428,1,6,1,1.0,0.1428571428571428,False,0
Estudiante 6,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,9.248571428571427,98.42857142857144,0,7,1,1.0,0.0,False,0
Estudiante 60,2023 - 2024 CII,"(2023, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,6.3,96.0,3,4,1,1.0,0.4285714285714285,False,0
Estudiante 60,2024 - 2025 CI,"(2024, 1, 'CI')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,5,4.954,51.0,3,2,2,1.6,0.6,False,0
Estudiante 60,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,6,6.65,76.33333333333333,1,5,3,1.8333333333333333,0.1666666666666666,False,0
Estudiante 61,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,7.954285714285715,94.57142857142856,1,6,1,1.0,0.1428571428571428,True,1
Estudiante 62,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,0.6671428571428571,0.0,7,0,1,1.0,1.0,True,1
Estudiante 63,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,1.747142857142857,30.571428571428573,7,0,1,1.0,1.0,True,1
Estudiante 64,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,8.641428571428571,93.28571428571428,0,7,1,1.0,0.0,False,0
Estudiante 65,2024 - 2025 CII,"(2024, 2, 'CII')",CIENCIAS MATEMATICAS Y FISICAS,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,7,8.51142857142857,98.42857142857144,0,7,1,1.0,0.0,False,0
